"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2024,1,1,1,1,"1/1/2024 12:00:00 AM","AA",19805,"AA","N112US",2307,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","AA",19805,"AA","N8031M",1275,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393008,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","AA",19805,"AA","N9002U",999,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14100,1410005,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,936,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,1,268,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","B6",20409,"B6","N265JB",1486,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,1,496,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","DL",19790,"DL","N358DN",2702,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039707,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","DL",19790,"DL","N951DX",1568,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039707,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","F9",20436,"F9","N341FR",1619,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1602,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,1,834,4,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","G4",20368,"G4","292NV",1101,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10693,1069302,30693,"BNA","Nashville, TN","TN",47,"Tennessee",54,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,1,462,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","NK",20416,"NK","N615NK",2375,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13303,1330303,32467,"MIA","Miami, FL","FL",12,"Florida",33,2111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,1,1013,5,NA,NA,NA,NA,NA,NA,NA,NA
2024,1,1,1,1,"1/1/2024 12:00:00 AM","NK",20416,"NK","N646NK",350,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12889,1288904,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,NA,NA,1,1910,8,NA,NA,NA,NA,NA,NA,NA,NA
